id;title;type;release_year;age_certification;runtime;genres;production_countries;seasons;imdb_id;imdb_score;imdb_votes;tmdb_popularity;tmdb_score
tm721687;Vaashi;MOVIE;1983;;123;['drama', 'thriller'];['IN'];;tt13913068;6.7;388.0;3.79;
tm40103;Mobile Suit Gundam: Char's Counterattack;MOVIE;1988;;119;['scifi', 'animation', 'action', 'drama', 'war'];['JP'];;tt0095262;7.3;1693.0;8.092;6.7
tm125985;Mobile Suit Gundam II: Soldiers of Sorrow;MOVIE;1981;;133;['animation', 'scifi', 'action', 'drama', 'war'];['JP'];;tt0159510;7.2;1274.0;13.125;7.2
ts2760;Fireman Sam;SHOW;1987;TV-Y;10;['animation', 'comedy', 'family', 'crime', 'european'];['GB'];13.0;tt0329829;6.1;1785.0;37.647;7.2
ts2760;Fireman Sam;SHOW;1987;TV-Y;10;['animation', 'comedy', 'family', 'crime', 'european'];['GB'];13.0;tt0329829;6.1;1785.0;37.647;7.2
tm21953;Sam Kinison: Breaking the Rules;MOVIE;1987;R;50;['comedy', 'documentation'];['US'];;tt0307403;7.2;660.0;1.843;7.2
tm126769;Waiting for the Hearse;MOVIE;1985;;87;['comedy'];['AR'];;tt0089108;8.0;6399.0;7.81;8.1
tm152839;Tim Allen: Men Are Pigs;MOVIE;1990;;30;['comedy', 'documentation'];['US'];;tt0259057;6.1;360.0;2.482;6.3
tm49037;Mobile Suit Gundam III: Encounters in Space;MOVIE;1982;;144;['action', 'drama', 'war', 'animation', 'scifi'];['JP'];;tt0159511;7.6;1236.0;12.741;7.5
tm62924;Monty Python Live at the Hollywood Bowl;MOVIE;1982;R;81;['comedy', 'documentation'];['GB'];;tt0084352;7.9;15230.0;6.833;7.4
tm52815;Disco Dancer;MOVIE;1982;;106;['drama', 'romance'];['IN'];;tt0208903;6.4;1476.0;7.879;5.3
tm159912;Agneepath;MOVIE;1990;;174;['drama', 'action', 'crime'];['IN'];;tt0098999;7.6;8947.0;4.062;6.5
tm133914;Parrot Sketch Not Included: Twenty Years of Monty Python;MOVIE;1989;;72;['comedy'];['GB'];;tt0213984;8.1;1522.0;1.801;6.9
tm38736;Too Young The Hero;MOVIE;1988;;100;['drama', 'war'];['US'];;tt0096286;6.7;502.0;1.485;6.2
tm51083;A Stoning in Fulham County;MOVIE;1988;;120;['thriller', 'crime', 'drama'];['US'];;tt0096179;5.9;387.0;1.01;5.8
tm137013;The Ryan White Story;MOVIE;1989;;102;['drama'];['US'];;tt0098237;7.2;863.0;1.981;5.9
tm157603;Dil;MOVIE;1990;;172;['drama', 'comedy', 'romance'];['IN'];;tt0099429;6.6;5316.0;3.992;6.5
tm258072;Adam: His Song Continues;MOVIE;1986;;100;['crime', 'drama'];['US'];;tt0090589;7.0;212.0;1.603;7.0
tm114356;The George McKenna Story;MOVIE;1988;;100;['drama'];['US'];;tt0091106;6.0;921.0;2.296;6.1
tm157853;In Defense of a Married Man;MOVIE;1990;;94;['drama', 'crime'];['US'];;tt0099396;5.6;207.0;2.444;4.9
